aoa,nu
4.065007217269107, 0.6007221913476792
4.193470518239451, 0.6026569350151362
4.321933819209796, 0.6045916786825932
4.45039712018014, 0.6065051614306276
4.578860421150485, 0.6084399050980845
4.7073237221208295, 0.6103746487655415
4.835787023091173, 0.612288131513576
4.964250324061519, 0.6142228751810329
5.0927136250318625, 0.6161576188484899
5.221176926002207, 0.6180923625159469
5.349640226972552, 0.6200271061834038
5.478103527942896, 0.6219405889314382
5.606566828913241, 0.6238753325988953
5.735030129883585, 0.6258100762663522
5.86349343085393, 0.6277235590143866
5.991956731824274, 0.6296583026818436
6.120420032794619, 0.6315930463493006
6.248883333764963, 0.6335277900167575
6.377346634735307, 0.6354625336842146
6.505809935705653, 0.637376016432249
6.634273236675996, 0.6393107600997059
6.762736537646342, 0.6412455037671629
6.891199838616686, 0.6431802474346199
7.0196631395870295, 0.645157512940922
7.148126440557375, 0.6470922566083791
7.276589741527719, 0.649027000275836
7.405053042498064, 0.6509404830238704
7.533516343468408, 0.6528752266913274
7.661979644438754, 0.6548099703587844
7.790442945409097, 0.6567234531068188
7.918906246379441, 0.6586581967742757
8.047369547349787, 0.6603590703280842
8.17583284832013, 0.6616559864128629
8.304296149290476, 0.6629316415782193
8.43275945026082, 0.6642072967435755
8.561222751231165, 0.6655042128283544
8.689686052201509, 0.666864911671401
8.818149353171853, 0.6681405668367573
8.946612654142198, 0.6694162220021135
9.075075955112542, 0.6706918771674697
9.203539256082887, 0.6720100541716713
9.332002557053231, 0.6732857093370275
9.460465858023575, 0.6745613645023838
9.58892915899392, 0.67583701966774
9.717392459964264, 0.6771551966719415
9.84585576093461, 0.6784308518372977
9.974319061904954, 0.6797277679220766
10.102782362875299, 0.6814711633147301
10.231245663845643, 0.6833846460627645
10.359708964815987, 0.6853193897302214
10.488172265786332, 0.6872541333976785
10.616635566756676, 0.6891888770651354
10.74509886772702, 0.6911236207325924
10.873562168697365, 0.6930371034806269
11.002025469667709, 0.6949718471480838
11.130488770638054, 0.6969065908155407
11.258952071608398, 0.6988200735635752
11.387415372578744, 0.7007548172310322
11.515878673549087, 0.7026895608984891
11.644341974519431, 0.7046243045659462
11.772805275489777, 0.7065590482334031
11.90126857646012, 0.7084725309814375
12.029731877430466, 0.7101308826964006
12.15819517840081, 0.7111726677481083
12.286658479371155, 0.7121081482027029
12.415121780341499, 0.7130861504961427
12.543585081311843, 0.7140641527895824
12.672048382282188, 0.714999633244177
12.800511683252532, 0.7159988964570394
12.928974984222878, 0.7169556378310566
13.057438285193221, 0.7179123792050738
13.185901586163565, 0.7188903814985136
13.31436488713391, 0.7198471228725307
13.442828188104254, 0.720803864246548
13.5712914890746, 0.7218031274594103
13.699754790044944, 0.722738607914005
13.82821809101529, 0.7237166102074447
13.956681391985633, 0.7246946125008845
14.085144692955977, 0.7256726147943243
14.213607993926322, 0.7266080952489189
14.342071294896666, 0.7275860975423587
14.470534595867012, 0.7285640998357985
14.598997896837355, 0.7294995802903931
14.7274611978077, 0.7304775825838329
14.855924498778045, 0.7314555848772727
14.984387799748388, 0.7324123262512898
15.112851100718734, 0.7333903285447296
15.241314401689078, 0.7343470699187469
15.369777702659423, 0.735303811292764
15.498241003629767, 0.7362818135862038
15.626704304600112, 0.7372385549602211
15.755167605570456, 0.7381952963342382
15.8836309065408, 0.7391945595471006
16.012094207511144, 0.7401087790822726
16.14055750848149, 0.7407253457455281
16.269020809451835, 0.741426956086474
16.397484110422177, 0.742022261830307
16.525947411392522, 0.7427026112518303
16.654410712362868, 0.7433616997539311
16.78287401333321, 0.743957005497764
16.911337314303555, 0.7446798767581325
17.0398006152739, 0.7452751825019654
17.168263916244246, 0.7459130100846436
17.29672721721459, 0.7465933595061669
17.425190518184934, 0.7471886652499998
17.55365381915528, 0.7478690146715231
17.68211712012562, 0.7485068422542013
17.810580421095967, 0.7491021479980342
17.939043722066312, 0.7498250192584027
18.067507023036658, 0.7503565422439679
18.195970324007, 0.7508668043101103
18.324433624977345, 0.7513770663762528
18.452896925947687, 0.7518873284423954
18.581360226918033, 0.7524188514279604
18.70982352788838, 0.752929113494103
18.838286828858724, 0.7534818973990907
18.966750129829066, 0.7539921594652331
19.09521343079941, 0.7545024215313757
19.223676731769757, 0.7550126835975182
19.3521400327401, 0.7555229456636606
19.480603333710445, 0.7560332077298032
19.60906663468079, 0.7565434697959457
19.737529935651136, 0.7570749927815108
19.865993236621478, 0.7575852548476533
19.965260332825835, 0.7580777994809436
